2025-03-20 23:29:40 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8004"]
2025-03-20 23:29:40 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-20 23:29:40 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-03-20 23:29:40 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-20 23:29:40 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1181 ms
2025-03-20 23:29:40 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8004"]
2025-03-20 23:29:40 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8004 (http) with context path '/'
2025-03-20 23:29:40 [main] INFO  c.w.d.springmvc.DemoSpringMVCStarter - Started DemoSpringMVCStarter in 2.261 seconds (process running for 3.442)
2025-03-20 23:31:13 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-03-20 23:31:17 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-03-20 23:31:17 [main] INFO  c.w.d.springmvc.DemoSpringMVCStarter - Starting DemoSpringMVCStarter using Java 17.0.6 with PID 50252 (C:\Users\moweitao\Desktop\study_stack\java-demo\8004-demo-springmvc\target\classes started by moweitao in C:\Users\moweitao\Desktop\study_stack\java-demo)
2025-03-20 23:31:17 [main] INFO  c.w.d.springmvc.DemoSpringMVCStarter - No active profile set, falling back to 1 default profile: "default"
2025-03-20 23:31:18 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8004 (http)
2025-03-20 23:31:18 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8004"]
2025-03-20 23:31:18 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-20 23:31:18 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-03-20 23:31:18 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-20 23:31:18 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 878 ms
2025-03-20 23:31:18 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8004"]
2025-03-20 23:31:18 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8004 (http) with context path '/'
2025-03-20 23:31:18 [main] INFO  c.w.d.springmvc.DemoSpringMVCStarter - Started DemoSpringMVCStarter in 1.746 seconds (process running for 2.671)
2025-03-20 23:31:27 [http-nio-8004-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-20 23:31:27 [http-nio-8004-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-03-20 23:31:27 [http-nio-8004-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
